0-15,12,CD,Possession Lost,,12,Play Disrupted,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,30,CD,Possession Lost,,2,Play Disrupted,,,,,,Run Play,20,SOG,1,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,18,CM,1,12,0,Play Disrupted,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,12,RM,1,17,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,17,RM,1,3,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,3,RD,1,14,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,14,LD,1,8,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,3
0-15,8,CM,1,2,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,2,CD,1,17,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,17,LM,1,7,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,7,LM,1,3,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,3,LM,1,14,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,14,CD,1,12,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,12,RM,1,30,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,30,CD,1,3,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,3,LD,Possession Lost,,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
